MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
multiplicative		yes	adjective	"of, relating to, or associated with a mathematical operation of multiplication"	MW online	multiplicative	multipl	adjective	1	5	1	n/a	0	n/a	0		cognate	multiplicativo	1	"3.MD ,4.OA ,HS.N-VM "	NOT PRESENT	"Math:4.OA Use the four operations with whole numbers to solve problems (1), 4.OA Use the four operations with whole numbers to solve problems (2)"					5	math	1	1
multiplied		no	verb	to find the product of by multiplication	MW online	multiply	multipli	adjective	1	4 & 5	2	n/a	5	24.0587	0		cognate	multiplicado	1	"3.OA ,5.NBT ,5.NF ,HS.F-BF "	NOT PRESENT			"Math: 5.NBT - Understand the place value system (2),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)"			4 & 5	math	1	2
multiplies		no	verb	to find the product of by multiplication	MW online	multiply	multipli	verb & adverb	4 & 1	4	1	n/a	0.8547	24.0587	0		cognate	multiplica	1	NOT PRESENT	NOT PRESENT						4	math	1	1
multiply		yes	verb	to find the product of by multiplication	MW online	multiply	multipli	verb & adverb	4 & 1	4 & 5	3	n/a	7	24.0587	0		cognate	multiplicar	1	"3.OA ,3.NBT ,3.MD ,4.OA ,4.NBT ,4.NF ,5.OA ,5.NBT ,5.NF ,6.NS ,7.NS ,7.EE ,HS.N-CN ,HS.N-VM ,HS.A-AR ,HS.F-BF ,8A.A "	NOT PRESENT	"Math: 4.OA Use the four operations with whole numbers to solve problems (2), 4.NBT Generalize place value understanding for multi-digit whole numbers (5),Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4)"		"Math: 5.OA - Write and interpret numerical expressions (2),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (5),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)"			4 & 5	math	1	3
multiplying		no	verb	to find the product of by multiplication	MW online	multiply	multipli	verb & adverb	4 & 1	4	2	n/a	2	24.0587	0		cognate	multiplicando	1	"3.MD ,5.NBT ,5.NF ,5.MD ,6.R ,6.G ,7.NS ,HS.F-BF "	NOT PRESENT			"Math: 5.NBT - Understand the place value system (2),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (5), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)"			4	math	1	2
mural		no	noun	a usually large painting that is done directly on the surface of a wall	MW online	mural	mural	noun & adjective	1 & 1	4 & 5	3	concrete	0.5955	1.5527	0		cognate	mural	0								4 & 5	math	1	3
negative	adjective--negative number	yes	adjective	"Describing a number that is less than zero. Examples: -2, -5, -26, and -3/4 are negative numbers."	4th math hm	negative	neg	noun & verb & adjective	2 & 1 & 9	4 & 5	4	abstract	42	46.0836	1	negate	cognate	negativo	1	"6.NS ,7.NS ,7.EE ,8.S ,HS.F-IF ,8A.F ,8A.S "	NOT PRESENT						4 & 5	math	1	4
net	a surface area map used to teach about 3 dimensional figures	yes	noun	a flat pattern that can be folded to make a solid	4th math hm	net	net	noun & verb & adjective	6 & 4 & 2	4 & 5	4	concrete	33	41.6606	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	4
nets	surface area maps used to teach about 3-dimensional figures	yes	noun	a flat pattern that can be folded to make a solid (plural)	4th math hm	net	net	noun & verb & adjective	6 & 4 & 2	4	1	concrete	7	41.6606	0		notcognate		1	6.G 	NOT PRESENT						4	math	1	1
nickelodeon		yes	noun	an early movie theater to which admission usually cost five cents	MW online	nickelodeon	nickelodeon	noun	1	4	1	concrete	0	n/a	0		notcognate		0								4	math	1	1
nickelodeons		yes	noun	an early movie theater to which admission usually cost five cents (plural)	MW online	nickelodeon	nickelodeon	noun	1	4	1	concrete	0	n/a	0		notcognate		0								4	math	1	1
nickels	coins	no	noun	the U.S. five-cent piece made of nickel and copper (plural)	MW online	nickel	nickel	noun & verb	3 & 1	5	1	concrete	2	10	0		notcognate		1	2.MD 	NOT PRESENT						5	math	1	1
nonzero		no	adjective	"being, having, or involving a value other than zero"	MW online	nonzero	nonzero	n/a	n/a	5	1	n/a	0.0028	n/a	0		notcognate		1	"HS.N-VM ,HS.A-AR ,8A.NQ "	NOT PRESENT						5	math	1	1
notation		yes	noun	"a system of characters, symbols, or abbreviated expressions used in an art or science or in mathematics or logic to express technical facts or quantities"	MW online	notation	notat	noun	3	4 & 5	4	abstract	1	1.9758	0		cognate	notación	1	"4.NF ,8.EE ,8.G ,HS.F-IF ,8A.NQ ,8A.A "	NOT PRESENT	"Math:4.NF Understand decimal notation for fractions, and compare decimal fractions (6)"					4 & 5	math	1	4
notations		no	noun	"a system of characters, symbols, or abbreviated expressions used in an art or science or in mathematics or logic to express technical facts or quantities"	MW online	notation	notat	noun	3	4	1	abstract	0.9558	1.9758	0		cognate	notaciones	1	NOT PRESENT	NOT PRESENT						4	math	1	1
note	to make note of	no	verb	to record or preserve in writing	MW online	note	note	noun & verb	9 & 4	4	1	abstract	84	172	0		cognate	anotar	0	NOT PRESENT							4	math	1	1
note	a note of music	no	noun	a written symbol used to indicate duration and pitch of a tone by its shape and position on the staff	MW online	note	note	noun & verb	9 & 4	5	1	abstract	84	172	0		cognate	nota	0	NOT PRESENT							5	math	1	1
notes	notes of music	no	noun	a written symbol used to indicate duration and pitch of a tone by its shape and position on the staff (plural)	MW online	note	note	noun & verb	9 & 4	4	1	abstract	46	172	0		cognate	notas	0								4	math	1	1
numeral		no	noun	a conventional symbol that represents a number	MW online	numeral	numer	noun & adjective	1 & 1	4	1	abstract	1	38.1564	0		cognate	numeral	1	"K.CC,1.NBT "	NOT PRESENT						4	math	1	1
numeration		no	noun	the act or process or an instance of counting or numbering; also: a system of counting or numbering	MW online	numeration	numer	noun	2	5	1	abstract	0.1409	38.1564	0		cognate	numeración	1	NOT PRESENT	NOT PRESENT						5	math	1	1
numerator		yes	noun	the number above the fraction bar in a fraction	4th math psf	numerator	numer	noun	1	4 & 5	4	abstract	0.059	38.1564	0		cognate	numerador	1	"3.NF ,5.NF ,HS.F-BF "	NOT PRESENT			Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)			4 & 5	math	1	4
numerators		yes	noun	the number above the fraction bar in a fraction (plural)	4th math psf	numerator	numer	noun	1	4 & 5	2	abstract	0	n/a	0		cognate	numeradores	1	4.NF 	NOT PRESENT	Math:4.NF Extend understanding of fraction equivalence and ordering (2)					4 & 5	math	1	2
numerical		yes	adjective	of or relating to numbers	MW online	numerical	numer	adjective	4	4	1	n/a	2	38.1564	0		cognate	numérico	1	"5.OA ,6.EE ,6.S ,7.EE ,7.S ,8.EE ,HS.A-AR ,HS.S-MD ,8A.A "	NOT PRESENT			"Math: 5.OA - Write and interpret numerical expressions (1),5.OA - Write and interpret numerical expressions (2),5.OA - Analyze patterns and relationships (3)"			4	math	1	1
nutrients		no	noun	a nutritive substance or ingredient (plural)	MW online	nutrient	nutrient	noun & adjective	1 & 1	4 & 5	2	concrete	29	32	0		cognate	nutrientes	0								4 & 5	math & science	2	6
object	of a game	no	noun	the goal or effort of an activity	MW online	object	object	noun & verb	4 & 2	4	1	concrete	118	255.3692	0		cognate	objeto	1	"K.CC,K.MD ,1.MD ,2.MD ,HS.F-LE ,HS.S-C ,8A.F "	NOT PRESENT						4	math & science	2	2
objective	what one will learn	yes	noun	"something toward which effort is directed: and aim, goal, or end of action"	MW online	objective	object	noun & adjective	2 & 4	4	1	abstract	19	255.3692	2		cognate	objetivo	1	NOT PRESENT	"Grade 6 Language Standards,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4	math	1	1
objects	things	no	noun	something material that may be perceived by the senses (plural)	MW online	object	object	noun & verb	4 & 2	4	1	concrete	90	255.3692	0		cognate	objetos	1	"K.CC, K.OA , K.NBT ,K.MD ,K.G ,1.OA ,1.NBT ,1.MD ,2.OA ,2.MD ,3.OA ,3.MD ,4.MD ,7.G ,8.EE ,HS.G-GMD ,8A.A "	"Kindergarten Language Standards,"	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2)					4 & 5	math & science	2	3
obtuse		yes	adjective	having an angle with a measure greater than that of a right angle (90 degrees) and less than 180 degrees	4th math hm	obtuse	obtus	adjective	4	4 & 5	4	n/a	0.0608	0.0608	0		cognate	obtuso	1	4.G 	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1)"					4 & 5	math	1	4
octagon		yes	noun	an eight-sided polygon	4th math hm	octagon	octagon	noun	1	4 & 5	3	abstract	0.0905	0.2414	0		cognate	octágono	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
odd	as in odd numbers	yes	adjective	"Describing a whole number that is not a multiple of 2. The ones digit in an odd number is 1, 3, 5, 7, or 9. The numbers 67 and 493 are examples of odd numbers."	4th math hm	odd	odd	adjective	6	4	2	n/a	25	30.4857	2		notcognate		1	"2.OA ,4.OA ,HS.F-TF ,8A.F "	NOT PRESENT	Math: 4.OA Generate and analyze patterns (5)					4	math	1	2
operation	mathematics process	no	noun	any of various mathematical or logical processes (as addition) of deriving one entity from others according to a rule	MW online	operation	oper	noun	11	4 & 5	4	abstract	45	173.0291	0		cognate	operación	1	"6.NS ,HS.N-VM "	NOT PRESENT						4 & 5	math	1	4
operational		no	adjective	"of or relating to operation or to an operation, which is a mathematical process"	MW online	operational	oper	adjective	4	4	1	n/a	2	173.0291	0		notcognate		0								4	math	1	1
operations	mathematics process	yes	noun	any of various mathematical or logical processes (as addition) of deriving one entity from others according to a rule (plural)	MW online	operations	oper	noun	1	4 & 5	4	abstract	27	173.0291	0		cognate	operaciones	1	"K.CC, K.OA , K.NBT ,1.OA ,1.NBT ,2.OA ,2.NBT ,3.OA ,3.NBT ,3.MD ,4.OA ,4.NBT ,4.NF ,4.MD ,5.OA ,5.NBT ,5.NF ,5.MD ,6.NS ,6.EE ,7.NS ,7.EE ,8.EE ,HS.N-CN ,HS.N-VM ,HS.A-SSE ,HS.A-AR ,HS.F-BF ,8A.A ,8A.CVA END"	NOT PRESENT	"Math:4.OA Use the four operations with whole numbers to solve problems (1), 4.OA Use the four operations with whole numbers to solve problems (3),Generalize place value understanding for multi-digit whole numbers (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2)"		"Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4),5.MD - Represent and interpret data (2), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)"			4 & 5	math	1	4
opposite		yes	noun	"(of a number) One number is the opposite of a second number if their sum is 0. Examples of opposite numbers are 2 and -2, and -7 and 7. "	4th math hm	opposite	opposit	noun & adjective & adverb	4 & 6 & 1	4 & 5	3	abstract	62	78.2904	0		cognate	opuesto	1	"6.NS ,7.NS ,HS.N-VM ,HS.G-CO ,HS.G-SRT "	NOT PRESENT						4 & 5	math & science	2	5
opposites		yes	noun	"(of a number) One number is the opposite of a second number if their sum is 0. Examples of opposite numbers are 2 and -2, and -7 and 7.  (plural)"	4th math hm	opposite	opposit	noun & adjective & adverb	4 & 6 & 1	4 & 5	3	abstract	0.879	78.2904	0		cognate	opuestos	1	NOT PRESENT	"Kindergarten Language Standards,Grade 4 Language Standards,"	 ELA:Grade 4 Language Standards - Knowledge of Language (5)					4 & 5	math	1	3
orbit	noun	no	noun	a path described by one body in its revolution about another (as by the earth about the sun or by an electron about an atomic nucleus)	MW online	orbit	orbit	noun & verb	5 & 1	4 & 5	3	concrete	17	26.8192	0		cognate	órbita	0								4 & 5	math & science	2	5
orbit	verb	no	verb	to revolve in an orbit around; to circle	MW online	orbit	orbit	noun & verb	5 & 1	4 & 5	3	concrete	17	26.8192	0		cognate	dando vuelo orbital	0								4 & 5	math & science	2	5
orbiting		no	verb	to revolve in an orbit around; to circle	MW online	orbit	orbit	noun & verb	5 & 1	5	1	concrete	3	26.8192	0		cognate	dando vuelo orbital	0								5	math & science	2	2
orbits	noun	no	noun	a path described by one body in its revolution about another (as by the earth about the sun or by an electron about an atomic nucleus)  (plural)	MW online	orbit	orbit	noun & verb	5 & 1	4 & 5	2	concrete	4	26.8192	0		cognate	órbitas	0								4 & 5	math & science	2	3
order	noun--the order of things	no	noun	a sequential arrangement of mathematical elements	MW online	order	order	noun & verb	15 & 9	4 & 5	2	abstract	294	404.0932	0		notcognate		1	"K.CC ,6.NS ,6.EE ,HS.N-VM ,8A.CVA"	"Kindergarten Writing Standards,Kindergarten Speaking and Listening Standards,Grade 1 Speaking and Listening Standards,Grade 2 Writing Standards,Grade 2 Speaking and Listening Standards,Grade 3 Writing Standards,Grade 3 Speaking and Listening Standards,Grade 4 Reading Standards for Informational Text,Grade 4 Writing Standards,Grade 4 Language Standards,Grade 5 Reading Standards for Informational Text,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Speaking and Listening Standards,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	" ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (9),Grade 4 Writing Standards - Text Types and Purposes (1),Grade 4 Language Standards - Conventions of Standard English (1)"		ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (9)			4 & 5	math & science	2	3
order	verb--list from least to greatest or vice versa	yes	verb	to arrange numbers from greatest to least or least to greatest	4th math hm	order	order	noun & verb	15 & 9	4 & 5	2	abstract	294	404.0932	0		cognate	orden	1	"1.MD ,6.NS"	"Kindergarten Writing Standards,Kindergarten Speaking and Listening Standards,Grade 1 Speaking and Listening Standards,Grade 2 Writing Standards,Grade 2 Speaking and Listening Standards,Grade 3 Writing Standards,Grade 3 Speaking and Listening Standards,Grade 4 Reading Standards for Informational Text,Grade 4 Writing Standards,Grade 4 Language Standards,Grade 5 Reading Standards for Informational Text,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Speaking and Listening Standards,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	" ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (9),Grade 4 Writing Standards - Text Types and Purposes (1),Grade 4 Language Standards - Conventions of Standard English (1)"		ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (9)			4 & 5	math & science	2	3
ordered	adjective--as in ordered pairs	yes	adjective	"having elements arranged or identified according to a rule, as in an ordered pair in which one number is identified as the first coordinate and the other number as the second coordinate"	4th math hm	order	order	adjective	4	4 & 5	4	n/a	52	404.0932	0		cognate	pares ordenados	1	"5.OA ,5.G ,6.NS ,6.EE ,8A.F "	"Grade 5 Writing Standards,Grades 11-12 Reading Standards for Literature"			"ELA: Grade 5 Writing Standards - Text Types and Purposes (1),; Math: 5.OA - Analyze patterns and relationships (3),5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)"			4 & 5	math	1	4
ordering	gerund	no	noun	logical or comprehensible arrangement of separate elements	Webster's Online Dictionary	ordering	order	noun	2	5	1	abstract	5	404.0932	0		cognate	ordenando	1	"4.NF ,6.NS "	NOT PRESENT	Math: 4.NF - Extend understanding of fraction equivalence and ordering (heading only)					5	math	1	1
ordinal		yes	adjective	of a specified order or rank in a series	MW online	ordinal	ordin	noun & adjective	1 & 2	4	1	abstract	0.0597	3.325	0		cognate	ordinal	1	NOT PRESENT	NOT PRESENT						4	math	1	1
organ	an organ in the body	no	noun	"a part (as a kidney or leaf) of a person, plant, or animal that consists of cells and tissues and is specialized to do a specific task"	MW online	organ	organ	noun	6	5	1	concrete	15	308.1137	0		cognate	órgano	0								5	math & science	2	3
organic		no	adjective	"of, relating to, or derived from living organisms"	MW online	organic	organ	noun & adjective	1 & 7	4	1	concrete	22	308.1137	0		cognate	orgánico	0								4	math	1	1
organically		no	adverb	"in an organic manner; by means of organs or with reference to organic functions; hence, fundamentally"	Webster's Online Dictionary	organically	organ	adverb	3	4	1	n/a	0.2989	308.1137	0		cognate	orgánicamente	0								4	math	1	1
organized	adjective--in order	no	adjective	having a formal organization to coordinate and carry out activities	MW online	organize	organ	adjective	3	4 & 5	2	n/a	53	308.1137	0		cognate	organizado	1	7.S 	"Grade 4 Speaking and Listening Standards,"	 ELA:Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (4)					4 & 5	math & science	2	3
organizer		no	noun	"one that organizes, or coordinates and carries out activities"	MW online	organizer	organ	noun	3	4 & 5	2	concrete	1	308.1137	0		cognate	organizador	0								4 & 5	math	1	2
organs	organs of the body	no	noun	"a part (as a kidney or leaf) of a person, plant, or animal that consists of cells and tissues and is specialized to do a specific task (plural)"	MW online	organs	organ	noun	1	5	1	concrete	27	308.1137	0		cognate	órganos	0								5	math & science	2	3
origin		yes	noun	a point assigned to zero on the number line or the point where the x- and y-axes intersect in a coordinate plane	4th math hm	origin	origin	noun	5	4 & 5	3	concrete	21	122.9469	0		cognate	origen	1	"5.G ,7.R ,8.EE ,HS.N-Q ,HS.G-GE ,8A.A "	Grades 9-10 Reading Standards for Literacy in History/Social Studies			Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)			4 & 5	math	1	3
original		no	adjective	"being the first instance or source from which a copy, reproduction, or translation is or can be made"	MW online	original	origin	noun & adjective	2 & 4	4	1	concrete	62	122.9469	0		cognate	original	1	HS.A-REI 	NOT PRESENT						4	math	1	1
ounce		yes	noun	a customary unit used to measure weight (16 ounces= 1 pound)	4th math hm	ounce	ounc	noun	3	4 & 5	3	abstract	4	7	0		cognate	onza	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
ounces	weight measurement	yes	noun	a customary unit used to measure weight (16 ounces= 1 pound)  (plural)	4th math hm	ounce	ounc	noun	3	4 & 5	4	abstract	3	7	0		cognate	onzas	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	4
outcome	result	yes	noun	a possible result of a game or experiment	4th math psf	outcome	outcom	noun	2	4 & 5	3	abstract	7	9	2		notcognate		1	NOT PRESENT	Grades 11-12 Writing Standards						4 & 5	math	1	3
outcomes		yes	noun	a possible result of a game or experiment (plural)	4th math psf	outcome	outcom	noun	2	4 & 5	3	abstract	2	9	1	outcome	notcognate		1	"7.S ,HS.S-C ,HS.S-MD "	NOT PRESENT						4 & 5	math	1	3
outlier		yes	noun	a number in a data set that is very different from the rest of the numbers	4th math psf	outlier	outlier	noun	2	4	2	concrete	0	n/a			notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	2
output	the outcome	no	noun	"something produced, the act, process, or an instance of producing"	MW online	output	output	noun & verb	5 & 1	4 & 5	3	concrete	27	28.0046	2		notcognate		1	"HS.F-IF ,8A.F "	NOT PRESENT						4 & 5	math	1	3
overestimate		yes	noun	the result of using numbers greater than the actual numbers to estimate a sum or product.  The estimate is greater than the actual answer.	5th math psf	overestimate	overestim	noun & verb	2 & 2	4 & 5	2	abstract	0.2923	0.4363	1	estimate	notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
oxygen		no	noun	"a reactive element that is found in water, rocks, and free as a colorless tasteless odorless gas which forms about 21 percent of the atmosphere, that is capable of combining with almost all elements, and that is necessary for life"	MW online	oxygen	oxygen	noun	1	4 & 5	2	concrete	96	96.4829	0		cognate	oxígeno	0								4 & 5	math & science	2	6
panda		yes	noun	"a large black-and-white mammal found mainly in China, which feeds primarily on bamboo shoots"	MW online	panda	panda	noun	2	4	1	concrete	2	2.5032	0		cognate	panda	0								4	math	1	1
pandas		yes	noun	"a large black-and-white mammal found mainly in China, which feeds primarily on bamboo shoots (plural)"	MW online	panda	panda	noun	2	4	2	concrete	0.5032	2.5032	0		cognate	pandas	0								4	math	1	2
par	the expected score in golf	no	noun	the score standard for each hole of a golf course	MW online	par	par	noun & verb	2 & 1	4	2	abstract	0.6574	1.0528	0		cognate	par	0								4	math	1	2
parallel		yes	adjective	"extending in the same direction, everywhere equidistant, and not meeting; parallel lines that are in the same plane do not intersect and are the same distance apart at all points"	MW online	parallel	parallel	noun & verb & adjective	2 & 3 & 2	4 & 5	4	abstract	19	24.0198	2		cognate	paralelo	1	"4.G ,8.G ,HS.G-CO ,HS.G-SRT ,HS.G-GE ,8A.G "	"Grade 6 Language Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Language Standards"	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math & science	2	7
parallelogram		yes	noun	a quadrilateral with both pairs of opposite sides parallel and equal in length	5th math psf	parallelogram	parallelogram	noun	1	4 & 5	4	abstract	0	n/a	0		cognate	paralelogramo	1	"4.G ,5.G ,HS.N-VM ,HS.G-CO "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"		Math: 5.G - Classify two-dimensional figures into categories based on their properties (6)			4 & 5	math	1	4
parallelograms		yes	noun	a quadrilateral with both pairs of opposite sides parallel and equal in length (plural)	5th math psf	parallelogram	parallelogram	noun	1	4	1	abstract	0.0375	0.0375	0		cognate	paralelogramos	1	"5.G ,HS.G-CO "	NOT PRESENT			Math: 5.G - Classify two-dimensional figures into categories based on their properties (3.1)			4	math	1	1
parentheses		yes	noun	"grouping symbols that indicate what operations in an expression should be performed first (example: (3+6) x 8, the 3+6 should be done first)"	4th math hm	parenthesis	parenthesi	noun	2	4 & 5	4	abstract	2	2.1765	0		cognate	paréntesis	1	"5.OA ,6.EE "	Grade 6 Language Standards			Math: 5.OA - Write and interpret numerical expressions (1)			4 & 5	math	1	4
partial	not whole	yes	adjective	of or relating to a part rather than the whole: not general or total	MW online	partial	partial	noun & adjective	2 & 3	4 & 5	3	abstract	9	1284.2553	0		cognate	parcial	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
pastels		no	noun	a paste made of powdered pigment ranging from pale to deep colors and used for making crayons  (plural)	MW online	pastel	pastel	noun & adjective	1 & 2	4 & 5	2	abstract	0.0534	0.8345	0		cognate	pasteles	0								4 & 5	math	1	2
pasture		no	noun	plants (as grass) grown for the feeding of grazing animals	MW online	pasture	pastur	noun & verb	2 & 2	4 & 5	2	concrete	12	17.2418	0		cognate	pasto	0								4 & 5	math	1	2
path	a general pathway	no	noun	a continuous curve that connects two or more points	Dictionary.com	path	path	noun	4	4	2	abstract	81	97.0325	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	2
path	electrical pathway	no	noun	a track specifically constructed for a particular use	MW online	path	path	noun	4	4	2	abstract	81	97.0325	0		notcognate		0								4	math	1	2
pattern	noun	no	noun	a form or model proposed for imitation	MW online	pattern	pattern	noun & verb	8 & 2	4 & 5	3	abstract	64	115.6359	0		cognate	patrón	1	"4.OA ,6.S "	NOT PRESENT	Math: 4.OA Generate and analyze patterns (5)					4 & 5	math & science	2	4
patterns	noun plural	no	noun	a form or model proposed for imitation (plural)	MW online	pattern	pattern	noun & verb	8 & 2	4 & 5	3	abstract	48	115.6359	0		cognate	patrones	1	"1.MD ,3.OA ,4.OA ,5.OA ,5.NBT ,8.S ,8A.S "	"Grade 1 Reading Standards: Foundational Skills,Grade 3 Language Standards,Grade 4 Reading Standards for Literature,Grade 4 Reading Standards: Foundational Skills,Grade 4 Language Standards,Grade 5 Reading Standards: Foundational Skills,Grade 6 Language Standards,Grade 8 Reading Standards for Literature,Grade 8 Writing Standards,Grades 9-10 Language Standards,Grades 11-12 Speaking and Listening Standards"	" ELA:Grade 4 Reading Standards for Literature - Integration of Knowledge and Ideas (9), Grade 4 Reading Standards: Foundational Skills - Phonics and Word Recognition (3),Grade 4 Language Standards - Conventions of Standard English (1)"		"ELA: Grade 5 Reading Standards:  Foundational Skills - Phonics and Word Recognition (3),; Math: 5.OA - Write and interpret numerical expressions (2.1),5.OA - Analyze patterns and relationships (3),5.NBT - Understand the place value system (2)"			4 & 5	math & science	2	5
penguin		no	noun	any of various erect short-legged flightless aquatic birds of the southern hemisphere	MW online	penguin	penguin	noun	1	4 & 5	2	concrete	1	3	0		cognate	pingüino	0								4 & 5	math	1	2
penguins		no	noun	any of various erect short-legged flightless aquatic birds of the southern hemisphere (plural)	MW online	penguin	penguin	noun	1	4	2	concrete	2	3	0		cognate	pingüinos	0								4	math	1	2
pentagon		yes	noun	a five-sided polygon	4th math hm	pentagon	pentagon	noun	3	4 & 5	4	abstract	0.3797	0.3797	0		cognate	pentágono	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	4
pentagons		yes	noun	a five-sided polygon (plural)	4th math hm	pentagon	pentagon	noun	3	4	1	abstract	0	n/a	0		cognate	pentágonos	1	2.G 	NOT PRESENT						4	math	1	1
