MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
panda	653	304		x			4th math hm	math	4																																																								
pandas	654	304		x			4th math hm	math	4	223					4th math psf	math	4																																																
par	655	355	the expected score in golf				4th math hm	math	4	131					4th math psf	math	4																																																
parallel	656	469		x			5th math psf	math	5	559		x			4th math hm	math	4	194					4th math psf	math	4	429		x			5th math hm	math	5	28					4th science delta	science	4	219					4th science mmh	science	4	140		x			5th science delta	science	5								
parallelogram	657	557		x			4th math hm	math	4	471		x			4th math psf	math	4	414		x			5th math hm	math	5	474		x			5th math psf	math	5																																
parallelograms	658	555					4th math hm	math	4																																																								
parentheses	659	90		x			4th math hm	math	4	471		x			4th math psf	math	4	102					5th math hm	math	5	472					5th math psf	math	5																																
partial	660	122	not whole	x			5th math hm	math	5	473	having to do with a part of something				5th math psf	math	5	471		x			4th math psf	math	4																																								
pastels	661	158					4th math psf	math	4	147					5th math psf	math	5																																																
pasture	662	254					4th math psf	math	4	166					5th math psf	math	5																																																
path	663	470	a general pathway				4th math psf	math	4																																																								
path	664	542	electrical pathway				4th math hm	math	4																																																								
pattern	665	xi	noun				5th math psf	math	5	xi					4th math psf	math	4	511					4th math hm	math	4									39					4th science delta	science	4																								
patterns	666	14	noun plural				5th math psf	math	5	190					4th math hm	math	4	16					4th math psf	math	4									386					4th science mmh	science	4	487					5th science mmh	science	5																
penguin	667	547					5th math hm	math	5	150					4th math hm	math	4																																																
penguins	668	148					4th math hm	math	4	34					4th math psf	math	4																																																
pentagon	669	474		x			5th math psf	math	5	557		x			4th math hm	math	4	61		x			4th math psf	math	4	419					5th math hm	math	5																																
pentagons	670	553					4th math hm	math	4																																																								
percent	671	474		x			5th math psf	math	5	ksh2		x			5th math hm	math	5																	82					4th science delta	science	4	58					4th science mmh	science	4	61					5th science delta	science	5	33					5th science mmh	science	5
percentage	672	528					5th math hm	math	5																									136					5th science delta	science	5	179					5th science mmh	science	5																
percentile	673	335					5th math hm	math	5																																																								
percents	674	6					5th math psf	math	5																																																								
perform	675	216	demonstrate a skill or talent				5th math hm	math	5	130	demonstrate a skill or talent				4th math hm	math	4																																																
performances	676	220					5th math hm	math	5																																																								
performed	677	ksh8					5th math hm	math	5																																																								
performing	678	216					5th math hm	math	5																																																								
perimeter	679	474		x			5th math psf	math	5	11		x			4th math hm	math	4	472		x			4th math psf	math	4	b5					5th math hm	math	5																																
perimeters	680	321					4th math hm	math	4																																																								
period	681	56	a group of 3 digits between commas in a number				5th math hm	math	5	474	a group of 3 digits in a number  separated off by a comma or commas	x			5th math psf	math	5	8	a group of 3 digits between commas in a number	x			4th math hm	math	4	472	a group of 3 digits between commas in a number	x			4th math psf	math	4	258		x			5th science delta	science	5																								
periodic	682	64	as in periodic table				5th math hm	math	5																									368		x			5th science mmh	science	5																								
periods	683	474	groups of 3 digits in a number  separated off by a comma or commas				5th math psf	math	5																									163					4th science mmh	science	4	369		x			5th science mmh	science	5																
perpendicular	684	559		x			4th math hm	math	4	472		x			4th math psf	math	4	429		x			5th math hm	math	5	468					5th math psf	math	5																																
perspectives	685	212					4th math psf	math	4	326					5th math psf	math	5																																																
petunia	686	182					4th math psf	math	4																																																								
petunias	687	341					4th math hm	math	4																																																								
photographers	688	613					5th math hm	math	5																																																								
photographs	689	613					5th math hm	math	5																																																								
photography	690	613					5th math hm	math	5																																																								
photos	691	23					4th math hm	math	4																																																								
photosynthesis	692	524					5th math hm	math	5																									28		x			4th science mmh	science	4	140		x			5th science delta	science	5	498		x			5th science mmh	science	5								
pictograph	693	472		x			4th math psf	math	4	10					5th math hm	math	5																																																
picture	694	211	verb- to visualize				4th math hm	math	4																																																								
pint	695	658	capacity measurement	x			4th math hm	math	4	350		x			4th math psf	math	4	474		x			5th math psf	math	5																																								
pints	696	332	capacity measurement	x			4th math hm	math	4	475					5th math psf	math	5																																																
place	697	ksh8	"reserved spot for something, as in place value--noun"	x			5th math hm	math	5	474	"adjective--ones, tens  etc.  place"				5th math psf	math	5																																																
placeholder	698	40					5th math psf	math	5																																																								
placing	699	273	setting down; putting into place				4th math hm	math	4																																																								
plane	700	585	noun: a 2-dimensional space	x			5th math hm	math	5	472		x			4th math psf	math	4	485	flat surface	x			4th math hm	math	4	474	two-dimensional space	x			5th math psf	math	5																																
platform	701	123	a framework with a flat or level surface at the top				4th math psf	math	4	289	a framework with a flat or level surface at the top				4th math hm	math	4																	24					4th science delta	science	4																								
plot	702	472	noun--picture of coordinates located on a grid	x			5th math psf	math	5																									387					4th science mmh	science	4	259					5th science delta	science	5	61					5th science mmh	science	5								
plot	703	472	to put an ordered pair on a grid	x			4th math psf	math	4	466	to locate points on a graph	x			4th math hm	math	4	ksh16	to locate points on a graph				5th math hm	math	5	346	verb				5th math psf	math	5	387					4th science mmh	science	4	259					5th science delta	science	5	61					5th science mmh	science	5								
plotted	704	346	to put an ordered pair in place on a grid				5th math psf	math	5	404	put points on a grid				4th math psf	math	4	474	to put points on a grid				4th math hm	math	4									175					5th science delta	science	5																								
point	705	558	a particular spot in space	x			4th math hm	math	4	472	a particular spot in space	x			4th math psf	math	4	474	a particular spot in space	x			5th math psf	math	5																																								
points	706	469	particular spots in space				5th math psf	math	5	193	noun plural				4th math psf	math	4																																																
polygon	707	474		x			5th math psf	math	5	556		x			4th math hm	math	4	472		x			4th math psf	math	4	419					5th math hm	math	5																																
polygons	708	557		x			4th math hm	math	4																																																								
population	709	8					4th math hm	math	4	21					5th math hm	math	5																	157					4th science delta	science	4	54		x			4th science mmh	science	4																
position	710	474	noun--placement				4th math psf	math	4	29	noun--placement				5th math hm	math	5																																																
positive	711	337	as in positive numbers	x			4th math psf	math	4	541	as in positive numbers	x			5th math hm	math	5	347	more than zero	x			4th math hm	math	4	474	adjective--opposite of negative	x			5th math psf	math	5	287					4th science mmh	science	4																								
possibilities	712	51					5th math hm	math	5																																																								
possible	713	243					4th math hm	math	4																																																								
pottery	714	155					4th math hm	math	4	115					5th math hm	math	5																																																
pound	715	152	unit of weight	x			4th math psf	math	4	474	unit of weight	x			5th math psf	math	5	659	weight measurement	x			4th math hm	math	4																																								
pounds	716	476	units of weight				5th math psf	math	5	332	weight measurement	x			4th math hm	math	4	59					4th math psf	math	4																																								
power	717	468	raising a number to a power--an exponent				5th math psf	math	5	72	raising a number to a power--an exponent				5th math hm	math	5																																																
predict	718	408					5th math psf	math	5	101					4th math hm	math	4	275					4th math psf	math	4									39					4th science delta	science	4	92		x			4th science mmh	science	4																
predicted	719	107					4th math psf	math	4																									158					4th science delta	science	4																								
prediction	720	538		x			4th math hm	math	4	472		x			4th math psf	math	4																	260					5th science delta	science	5	491					5th science mmh	science	5																
predictions	721	538					4th math hm	math	4																									180					5th science delta	science	5																								
prescription	722	190	a rule				4th math hm	math	4	422	a rule				4th math psf	math	4																																																
presentation	723	59					5th math hm	math	5																																																								
preserved	724	32					5th math hm	math	5																									59					5th science mmh	science	5																								
pressure	725	36	noun				4th math hm	math	4	566	noun				5th math hm	math	5																	208					4th science delta	science	4	172		x			4th science mmh	science	4	21					5th science delta	science	5								
primary	726	496	adjective--major				4th math hm	math	4																									40	main or first (adjective)				4th science mmh	science	4	123	main				4th science delta	science	4																
prime	727	6	adjective--divisible by itself and 1	x			5th math hm	math	5	659	adjective--like prime numbers				4th math hm	math	4	474	adjective--prime number	x			5th math psf	math	5	472	prime number	x			4th math psf	math	4																																
prioritizing	728	190					4th math hm	math	4	16					4th math psf	math	4	14					5th math psf	math	5																																								
prism	729	474		x			5th math psf	math	5	659		x			4th math hm	math	4	472		x			4th math psf	math	4	482		x			5th math hm	math	5																																
prisms	730	205					4th math psf	math	4																																																								
probabilities	731	551	mathematical sense of probability				4th math hm	math	4																									15					5th science delta	science	5																								
probability	732	531	mathematical sense of probability	x			4th math hm	math	4																									15					5th science delta	science	5																								
probably	733	470					4th math psf	math	4																																																								
process	734	242	noun				4th math hm	math	4	xi	noun				4th math psf	math	4	xi	noun				5th math psf	math	5									132					5th science delta	science	5	483					5th science mmh	science	5																
produce	735	340	collective noun--food				4th math hm	math	4																									31					4th science mmh	science	4	111					5th science delta	science	5																
produce	736	112	verb				4th math psf	math	4																									31					4th science mmh	science	4	111					5th science delta	science	5																
produced	737	444					4th math hm	math	4	112	verb				4th math psf	math	4																	111					5th science delta	science	5																								
producer	738	1					5th math hm	math	5																									173		x			4th science delta	science	4																								
produces	739	444					4th math hm	math	4																									288					4th science mmh	science	4																								
product	740	213	quantity obtained by multiplying				4th math hm	math	4	472	multiplication answer	x			4th math psf	math	4	ksh4	quantity obtained by multiplying				5th math hm	math	5	474	answer to a multiplication problem	x			5th math psf	math	5	80		x			5th science delta	science	5	498		x			5th science mmh	science	5																
products	741	216	quantities obtained by multiplying				4th math hm	math	4	471	answers to multiplication problems				4th math psf	math	4	122	answers to multiplication problems	x			5th math hm	math	5									28					5th science delta	science	5																								
profit	742	54	noun				5th math psf	math	5	ksh33	noun				5th math hm	math	5																																																
programmer	743	537	computer programmer				4th math hm	math	4	254	computer programmer				5th math hm	math	5																																																
programs	744	537	verb--to get a computer to do what you want				4th math hm	math	4																																																								
propelled	745	99					4th math psf	math	4																																																								
properties	746	62	characteristics or traits				4th math psf	math	4	54	an attribute of something				4th math hm	math	4	472	characteristics or qualities				5th math psf	math	5									179	characteristics				4th science delta	science	4	5	characteristics				4th science mmh	science	4	3	characteristics				5th science delta	science	5	337	characteristics				5th science mmh	science	5
property	747	123	a characteristic or trait				4th math psf	math	4	83	characteristic				4th math hm	math	4	122	characteristic or quality				5th math psf	math	5	128	characteristic or trait				5th math hm	math	5	264	a characteristic	x			4th science delta	science	4	8	a characteristic				5th science delta	science	5	498	a characteristic	x			5th science mmh	science	5								
protractor	748	642					4th math hm	math	4	390		x			5th math hm	math	5	474		x			5th math psf	math	5																																								
pyramid	749	660	geometric figure	x			4th math hm	math	4	472	geometric figure	x			4th math psf	math	4	474	geometric figure	x			5th math psf	math	5									58	energy pyramid	x			4th science mmh	science	4	207					4th science delta	science	4																
quadrilateral	750	475	noun	x			5th math psf	math	5	660		x			4th math hm	math	4	472		x			4th math psf	math	4	ksh29		x			5th math hm	math	5																																
quadrilaterals	751	184	noun plural				5th math psf	math	5	555					4th math hm	math	4	202					4th math psf	math	4																																								
quantity	752	14					4th math hm	math	4	ksh14					5th math hm	math	5																																																
quart	753	660		x			4th math hm	math	4	350		x			4th math psf	math	4	475		x			5th math psf	math	5																																								
quarter	754	361	noun--a measurement	x			4th math psf	math	4																																																								
quarter	755	660	adjective--meaning one fourth				4th math hm	math	4																																																								
quarters	756	373	coins				4th math hm	math	4	116	coins				5th math psf	math	5																																																
quarts	757	332	capacity measurement	x			4th math hm	math	4	172	capacity measurement				5th math hm	math	5	159	capacity measurement				5th math psf	math	5																																								
quotient	758	119		x			4th math hm	math	4	472		x			4th math psf	math	4	ksh8					5th math hm	math	5	475		x			5th math psf	math	5																																
radii	759	568		x			4th math hm	math	4																																																								
radius	760	568		x			4th math hm	math	4	472		x			4th math psf	math	4																																																
range	761	72	verb--fall into a range				5th math hm	math	5																									174		x			4th science delta	science	4	27		x			5th science delta	science	5																
range	762	472	noun--from max to min	x			4th math psf	math	4	475	noun--from max to min	x			5th math psf	math	5	330	noun--from max to min				4th math hm	math	4									174		x			4th science delta	science	4	27		x			5th science delta	science	5																
ranger	763	170					4th math hm	math	4	172					5th math hm	math	5																																																
rate	764	120	noun--the pace at which something takes place				5th math psf	math	5	474	pace at which something takes place				4th math hm	math	4																	207					4th science mmh	science	4																								
ray	765	472	geometric type of line	x			4th math psf	math	4	390	geometric type of line	x			5th math hm	math	5	475	an arrow with an endpoint	x			5th math psf	math	5	560	geometric type of line	x			4th math hm	math	4																																
rays	766	196	geometric type of line				4th math psf	math	4	ksh26	geometric type of line	x			5th math hm	math	5	175	arrows with endpoints				5th math psf	math	5									51					5th science delta	science	5	51					5th science mmh	science	5																
ream	767	485					5th math hm	math	5																																																								
reams	768	152					4th math psf	math	4																																																								
reasonable	769	17					4th math hm	math	4	xxi					4th math psf	math	4	158					5th math hm	math	5	xxi					5th math psf	math	5																																
reasonableness	770	549					4th math hm	math	4	10					4th math psf	math	4	332					5th math hm	math	5	38					5th math psf	math	5																																
reasoning	771	635	thinking				4th math hm	math	4	xi					4th math psf	math	4	58					5th math hm	math	5	xi					5th math psf	math	5																																
reciprocal	772	230		x			5th math hm	math	5	475		x			5th math psf	math	5																																																
record	773	84	noun--documented  known facts				4th math hm	math	4																									3	verb--keep a record of	x			5th science mmh	science	5																								
record	774	7	to write				4th math hm	math	4																									3	verb--keep a record of	x			5th science mmh	science	5																								
recording	775	2	adjective--sheets for keeping records				4th math hm	math	4																									10					4th science mmh	science	4																								
rectangle	776	661		x			4th math hm	math	4	472		x			4th math psf	math	4	414		x			5th math hm	math	5	475		x			5th math psf	math	5																																
rectangles	777	468					5th math psf	math	5																																																								
rectangular	778	661		x			4th math hm	math	4	472		x			4th math psf	math	4	482		x			5th math hm	math	5	474					5th math psf	math	5																																
redeem	779	161					4th math hm	math	4	124					5th math hm	math	5																																																
reflecting	780	463	verb--like in a mirror				5th math psf	math	5																																																								
reflection	781	473		x			4th math psf	math	4	661		x			4th math hm	math	4																																																
reflections	782	438					4th math psf	math	4																																																								
region	783	468					5th math psf	math	5	391					4th math hm	math	4	225					4th math psf	math	4	176					5th math hm	math	5	7					4th science delta	science	4	257					5th science delta	science	5	483					5th science mmh	science	5								
regional	784	152					4th math psf	math	4																																																								
regions	785	224					4th math psf	math	4																																																								
regroup	786	186					5th math hm	math	5	62		x			4th math hm	math	4	36					4th math psf	math	4																																								
regrouped	787	63					4th math hm	math	4	466					4th math psf	math	4	35					5th math psf	math	5																																								
regrouping	788	213					4th math hm	math	4	37					4th math psf	math	4	ksh8					5th math hm	math	5																																								
regular	789	180					5th math psf	math	5																																																								
relate	790	553					4th math hm	math	4																																																								
related	791	47					4th math hm	math	4	439					4th math psf	math	4	ksh1					5th math hm	math	5									73					4th science mmh	science	4																								
relates	792	547					4th math hm	math	4																																																								
relating	793	ksh3					5th math hm	math	5	322					5th math psf	math	5																																																
relationship	794	202					4th math hm	math	4																									73					4th science mmh	science	4																								
relationships	795	190					4th math hm	math	4																																																								
relative	796	32	adjective- in relation to something else				4th math psf	math	4	340	adjective- in relation to something else				4th math hm	math	4	6	adjective- in relation to something else				5th math psf	math	5																																								
relevant	797	190					4th math hm	math	4	16					4th math psf	math	4	14					5th math psf	math	5																																								
remainder	798	475	division term--number left over	x			5th math psf	math	5	130	division term--number left over	x			4th math hm	math	4	473	division term--number left over	x			4th math psf	math	4																																								
remainders	799	130	division term--numbers left over				4th math hm	math	4	164	division term--numbers left over				4th math psf	math	4																																																
remaining	800	396	adjective				4th math hm	math	4	328	adjective				5th math hm	math	5																																																
remains	801	466	verb				4th math psf	math	4																																																								
repel	802	99					4th math psf	math	4																									73		x			4th science delta	science	4	287		x			4th science mmh	science	4																
replacements	803	379					5th math psf	math	5																																																								
represent	804	104					4th math hm	math	4																									9					4th science mmh	science	4																								
representation	805	292					4th math hm	math	4																																																								
represented	806	178					4th math hm	math	4	55					5th math hm	math	5																																																
represents	807	201					4th math hm	math	4	ksh6					5th math hm	math	5																	36					4th science mmh	science	4																								
require	808	329					5th math hm	math	5																																																								
requires	809	343					4th math hm	math	4																																																								
research	810	491					4th math hm	math	4																									68					4th science delta	science	4	7					4th science mmh	science	4	7					5th science mmh	science	5								
researcher	811	41					5th math hm	math	5																																																								
researchers	812	553					5th math hm	math	5																																																								
reserve	813	85	place where things are protected				4th math hm	math	4																																																								
reserved	814	277					5th math hm	math	5																																																								
reservoir	815	482					5th math hm	math	5																									260					4th science delta	science	4	499		x			5th science mmh	science	5																
resident	816	148	person living in a given place				5th math psf	math	5																																																								
residents	817	60					4th math hm	math	4																																																								
retile	818	151	to tile again				4th math psf	math	4																																																								
revise	819	xiv					4th math psf	math	4	xiv					5th math psf	math	5																																																
rewrite	820	102	to write again				4th math hm	math	4																																																								
rewrote	821	250					4th math hm	math	4																																																								
rhino	822	158	animal				4th math hm	math	4	105					4th math psf	math	4																																																
rhombus	823	564		x			4th math hm	math	4	473		x			4th math psf	math	4	414		x			5th math hm	math	5	475		x			5th math psf	math	5																																
rhombuses	824	189					5th math psf	math	5																																																								
right	825	558	adjective--90 degrees	x			4th math hm	math	4	473	90 degrees--as in right angle	x			4th math psf	math	4	ksh26	adjective: equal to 90 degrees	x			5th math hm	math	5	475	at 90 degrees--adjective	x			5th math psf	math	5																																
rigid	826	566					4th math hm	math	4	458					5th math psf	math	5																																																
rotate	827	442					4th math psf	math	4																									15					4th science delta	science	4																								
rotated	828	445					4th math psf	math	4																									40					4th science delta	science	4																								
rotates	829	473					4th math psf	math	4																									257					5th science delta	science	5																								
rotating	830	463	moving around				5th math psf	math	5																									41					4th science delta	science	4																								
rotation	831	662					4th math hm	math	4	473		x			4th math psf	math	4																																																
rotational	832	584					4th math hm	math	4	473		x			4th math psf	math	4																																																
rotations	833	438					4th math psf	math	4																																																								
round	834	24	adjective--round numbers				4th math psf	math	4	24	adjective--round numbers	x			4th math hm	math	4																	194	verb				4th science mmh	science	4																								
round	835	2	division of a contest or game				4th math hm	math	4																									194	verb				4th science mmh	science	4																								
round	836	51	verb; to round off	x			4th math hm	math	4	66	to round off			this concept is taught in 3rd	5th math hm	math	5	4	to round off				5th math psf	math	5									194	verb				4th science mmh	science	4																								
rounded	837	26	rounded off to				5th math psf	math	5	444	bumped up or down slightly in value				4th math hm	math	4	24					4th math psf	math	4	66					5th math hm	math	5																																
rounding	838	475	rounding off to	x			5th math psf	math	5	1	bumping up or down slightly in value				4th math hm	math	4	473		x			4th math psf	math	4	66					5th math hm	math	5																																
rounds	839	2	divisions of a contest or game				4th math hm	math	4																																																								
route	840	167	noun--pathway				4th math psf	math	4	259	noun--pathway				5th math hm	math	5																																																
rows	841	300	noun-horizontal lines				4th math hm	math	4	466					4th math psf	math	4																																																
salmon	842	265					4th math psf	math	4	32					5th math hm	math	5																																																
scale	843	339	device to weigh				4th math hm	math	4	162	device for weighing things				5th math hm	math	5																	377	instrument for measuring weight				4th science mmh	science	4																								
scale	844	475	noun--the scale in a bar graph--ticked unit marks	x			5th math psf	math	5	473	units on a graph	x			4th math psf	math	4																	377	instrument for measuring weight				4th science mmh	science	4																								
scale	845	390	set of measures within a range	x			5th math hm	math	5																									377	instrument for measuring weight				4th science mmh	science	4																								
scalene	846	557		x			4th math hm	math	4	473		x			4th math psf	math	4	412		x			5th math hm	math	5	475		x			5th math psf	math	5																																
scales	847	390	sets of measures within a range				5th math hm	math	5																									343	instruments for measuring weight				5th science mmh	science	5																								
scavenger	848	505					4th math hm	math	4	445					5th math hm	math	5																	174		x			4th science delta	science	4																								
score	849	579	the number correct	x			5th math hm	math	5	426	the number correct				4th math hm	math	4																																																
scorecard	850	355					4th math hm	math	4																																																								
scores	851	426	number correct in more than 1 round				4th math hm	math	4																																																								
screenings	852	59					5th math hm	math	5																																																								
screenwriter	853	59					5th math hm	math	5																																																								
second	854	473	a 60th of a minute	x			4th math psf	math	4	55	a fraction of a minute				5th math psf	math	5																																																
seconds	855	102	time--part of a minute				4th math psf	math	4																																																								
section	856	457	a part of something				4th math hm	math	4																																																								
sections	857	457	a part of something				4th math hm	math	4	28					5th math hm	math	5																																																
segment	858	492	noun--line segment				4th math hm	math	4	468	noun--line segment				4th math psf	math	4	238	noun--line segment				5th math hm	math	5	471	noun--line segment				5th math psf	math	5																																
segments	859	196	noun plural--line segments				4th math psf	math	4	238	noun plural--line segments				5th math hm	math	5	188	noun plural--line segments				5th math psf	math	5									136					4th science delta	science	4																								
selenite	860	170					4th math psf	math	4																																																								
selenium	861	64					5th math hm	math	5																									46					5th science delta	science	5	368					5th science mmh	science	5																
sequencing	862	190	gerund (noun)				4th math hm	math	4	16	gerund (noun)				4th math psf	math	4	14	gerund (noun)				5th math psf	math	5																																								
sequins	863	108					4th math psf	math	4	312					5th math psf	math	5																																																
set	864	347	verb- appear to move toward and below the earth's horizon as the earth rotates				4th math hm	math	4																																																								
set	865	225	a mathematical group				4th math psf	math	4	433	a group				5th math psf	math	5																																																
sets	866	224	mathematical groups				4th math psf	math	4																																																								
shuffle	867	48	verb--mix up				4th math hm	math	4	50	verb--mix up				5th math hm	math	5																																																
side	868	473	side of a polygon	x			4th math psf	math	4																																																								
sides	869	475	the rays that form the 2 sides of an angle	x			5th math psf	math	5																																																								
similar	870	473	identical in shape but not necessarily in size	x			4th math psf	math	4	475	having the same shape	x			5th math psf	math	5																	220					4th science delta	science	4	86					4th science mmh	science	4																
simpler	871	385					4th math hm	math	4																																																								
simplest	872	473		x			4th math psf	math	4	35		x			5th math hm	math	5																																																
simplified	873	317					4th math hm	math	4	102					5th math hm	math	5	352					5th math psf	math	5																																								
simplify	874	90		x			4th math hm	math	4	124					4th math psf	math	4	197					5th math hm	math	5	89					5th math psf	math	5																																
simplifying	875	100					4th math hm	math	4	124					4th math psf	math	4	89					5th math psf	math	5																																								
situation	876	21					4th math hm	math	4	108					5th math hm	math	5																																																
skate	877	196	noun- recreational toy				4th math hm	math	4																																																								
skateboard	878	102					4th math psf	math	4																																																								
skates	879	196	plural noun- recreational toys 				4th math hm	math	4																									51					5th science mmh	science	5																								
sketch	880	b5	noun--drawing				5th math hm	math	5	211	noun- drawing				4th math hm	math	4																																																
sketch	881	65	verb--to draw				4th math hm	math	4																																																								
sketched	882	442	verb--drew				5th math hm	math	5																																																								
sketches	883	386	verb--draws				5th math hm	math	5																																																								
solid	884	471	adjective--as in a  3-dimensional figure				5th math hm	math	5	662	adjective--solid figures	x			4th math hm	math	4	198	adjective--solid figures				4th math psf	math	4									81		x			5th science delta	science	5	500		x			5th science mmh	science	5																
solid	885	475	noun--a solid	x			5th math psf	math	5																									81		x			5th science delta	science	5	500		x			5th science mmh	science	5																
solidifies	886	630					4th math hm	math	4																																																								
solids	887	192	noun plural--meaning solid figures				4th math psf	math	4	470	3-dimensional figures	x			5th math hm	math	5																	12					5th science delta	science	5	501					5th science mmh	science	5																
solution	888	60	the right answer				4th math hm	math	4	475	the right answer	x			5th math psf	math	5	473	the value of a variable that makes an equation true	x			4th math psf	math	4									361		x			4th science mmh	science	4	81		x			5th science delta	science	5	500		x			5th science mmh	science	5								
solutions	889	216	the right answers				4th math hm	math	4	126	answers				4th math psf	math	4																	1					5th science delta	science	5	379					5th science mmh	science	5																
solve	890	174					4th math hm	math	4	473		x			4th math psf	math	4																																																
souvenir	891	251					5th math hm	math	5																																																								
souvenirs	892	256					4th math hm	math	4																																																								
space	893	394	area				4th math hm	math	4																																																								
spacecraft	894	80					5th math hm	math	5																																																								
span	895	167	 noun--length of time				4th math psf	math	4																																																								
spans	896	525	noun- as in arm spans				4th math hm	math	4																																																								
specified	897	216					4th math hm	math	4	32					4th math psf	math	4	146					5th math psf	math	5																																								
sphere	898	662					4th math hm	math	4	473		x			4th math psf	math	4	475		x			5th math psf	math	5																																								
sponsor	899	115					5th math hm	math	5																																																								
sponsors	900	463					4th math hm	math	4																																																								
square	901	46	adjective--shaped like a square  as in square miles	x			5th math psf	math	5	473	adjective--as in a square corner or right angle				4th math psf	math	4	663	adjective--having to do with a square				4th math hm	math	4	628	adjective--square units determine the area				5th math hm	math	5	92	adjective (square mile)				4th science delta	science	4	110	adjective (square miles)				5th science delta	science	5																
square	902	416	a quadrilateral	x			5th math hm	math	5	473	noun--a quadrilateral	x			4th math psf	math	4																	92	adjective (square mile)				4th science delta	science	4	110	adjective (square miles)				5th science delta	science	5																
square	903	663	number taken times itself				4th math hm	math	4																									92	adjective (square mile)				4th science delta	science	4	110	adjective (square miles)				5th science delta	science	5																
squared	904	476		x			5th math psf	math	5																																																								
stack	905	366	noun--a pile				4th math hm	math	4																																																								
stacked	906	482					5th math hm	math	5																																																								
stadium	907	409					4th math hm	math	4	186					4th math psf	math	4	159					5th math hm	math	5	158					5th math psf	math	5																																
standard	908	468	adjective--normal or uniform				4th math psf	math	4	245	adjective-- basic				4th math hm	math	4																																																
standards	909	21	as in the California standards				4th math hm	math	4																																																								
statement	910	544					4th math hm	math	4	179					5th math hm	math	5																	7					4th science mmh	science	4																								
statistics	911	626					5th math hm	math	5	394					5th math psf	math	5																																																
steer	912	22	a neutered male bull				5th math psf	math	5	167	a neutered male bull				4th math psf	math	4																																																
straight	913	394	adjective--unbending  180 degree angle	x			5th math hm	math	5	473	unbending; 180 dgrees				4th math psf	math	4																																																
straightedge	914	466					4th math hm	math	4	76					5th math hm	math	5	469					5th math psf	math	5																																								
strategies	915	x					5th math psf	math	5	17					4th math hm	math	4	x					4th math psf	math	4	b3					5th math hm	math	5																																
strategy	916	53					4th math hm	math	4	xi					4th math psf	math	4	b3					5th math hm	math	5	xi					5th math psf	math	5																																
structure	917	32	a building				4th math psf	math	4																									174		x			4th science delta	science	4	124					4th science mmh	science	4	45					5th science delta	science	5	20					5th science mmh	science	5
structures	918	396	buildings				4th math hm	math	4																									30					4th science mmh	science	4	86					5th science delta	science	5	488					5th science mmh	science	5								
substitute	919	93	verb--replace				4th math psf	math	4	104	verb--replace				5th math hm	math	5	119	verb--replace				5th math psf	math	5																																								
substituting	920	ksh19	gerund--replacing				5th math hm	math	5																																																								
sum	921	473	noun--answer to an addition problem	x			4th math psf	math	4	51	answer to an addition problem				4th math hm	math	4	476	noun--answer to an addition problem	x			5th math psf	math	5																																								
sums	922	52	answers to addition problems				4th math hm	math	4																																																								
surface	923	476	adjective--surface area	x			5th math psf	math	5	ksh23	adjective--surface area	x			5th math hm	math	5																	187	adjective--as in surface area	x			5th science delta	science	5																								
surface	924	468	noun				5th math psf	math	5	240	noun				4th math hm	math	4	195	noun				4th math psf	math	4									187	adjective--as in surface area	x			5th science delta	science	5																								
surround	925	343	to enclose				4th math hm	math	4																																																								
surrounded	926	439	verb				5th math hm	math	5																																																								
